,Title,Author,Rating,Number of Reviews
189,The Girl Who Played with Fire,Stieg Larsson,4.24,863155
190,The Neverending Story,Michael Ende,4.15,185018
191,Treasure Island,Robert Louis Stevenson,3.84,435968
192,Ulysses,James Joyce,3.73,118776
193,Fifty Shades of Grey,E.L. James,3.66,2171163
194,A Storm of Swords,George R.R. Martin,4.53,705745
195,Murder on the Orient Express,Agatha Christie,4.18,461071
196,The Clan of the Cave Bear,Jean M. Auel,4.07,244388
197,The Canterbury Tales,Geoffrey Chaucer,3.52,203535
198,The World According to Garp,John Irving,4.09,212938
199,A Farewell to Arms,Ernest Hemingway,3.81,282935
